Country,Year,PI-01,PI-01.1,PI-02,PI-02.1,PI-02.2,PI-02.3,PI-03,PI-03.1,PI-03.2,PI-04,PI-04.1,PI-05,PI-05.1,PI-06,PI-06.1,PI-06.2,PI-06.3,PI-07,PI-07.1,PI-07.2,PI-08,PI-08.1,PI-08.2,PI-08.3,PI-08.4,PI-09,PI-09.1,PI-10,PI-10.1,PI-10.2,PI-10.3,PI-11,PI-11.1,PI-11.2,PI-11.3,PI-11.4,PI-12,PI-12.1,PI-12.2,PI-12.3,PI-13,PI-13.1,PI-13.2,PI-13.3,PI-14,PI-14.1,PI-14.2,PI-14.3,PI-15,PI-15.1,PI-15.2,PI-15.3,PI-16,PI-16.1,PI-16.2,PI-16.3,PI-16.4,PI-17,PI-17.1,PI-17.2,PI-17.3,PI-18,PI-18.1,PI-18.2,PI-18.3,PI-18.4,PI-19,PI-19.1,PI-19.2,PI-19.3,PI-19.4,PI-20,PI-20.1,PI-20.2,PI-20.3,PI-21,PI-21.1,PI-21.2,PI-21.3,PI-21.4,PI-22,PI-22.1,PI-22.2,PI-23,PI-23.1,PI-23.2,PI-23.3,PI-23.4,PI-24,PI-24.1,PI-24.2,PI-24.3,PI-24.4,PI-25,PI-25.1,PI-25.2,PI-25.3,PI-26,PI-26.1,PI-26.2,PI-26.3,PI-26.4,PI-27,PI-27.1,PI-27.2,PI-27.3,PI-27.4,PI-28,PI-28.1,PI-28.2,PI-28.3,PI-29,PI-29.1,PI-29.2,PI-29.3,PI-30,PI-30.1,PI-30.2,PI-30.3,PI-30.4,PI-31,PI-31.1,PI-31.2,PI-31.3,PI-31.4,UHLG-01,UHLG-01.1,UHLG-01.2,UHLG-01.3
Georgia - Martvili,2018,D,D,D+,D,D,A,D,D,D,A,A,B,B,A,A,A,A,NA,NA,NA,D+,D,D,A,D,B,B,NA,NA,NA,NA,C,D,C,C,B,B,B,D,A,C+,C,A,D,NA,NA,NA,NA,D+,D,C,C,D,D,D,D,D,D+,C,D,C,B+,B,A,A,A,NA,NA,NA,NA,NA,A,A,NA,NA,B+,A,B,A,C,A,A,NA,B+,A,A,A,B,B,NA,A,A,D,A,A,A,A,B+,A,B,A,A,A,A,NA,A,A,B+,A,A,B,D+,C,D,C,D+,D,D,C,A,D,D,D,D,D,D+,A,D,A
Timor-Leste,2020,C,C,D+,D,D,A,B+,B,A,C,C,B,B,A,A,A,B,C+,A,D,D,C,D,D,D,D,D,D+,C,D,D,D+,C,C,D,D*,C,B,D,C,B,B,A,D,C,B,C,D,D,D,D,NA,D,D,D,D,D,D,D,D,D,C+,B,A,C,B,D+,A,B,A,D*,A,A,A,A,B+,A,A,B,B,D,D*,D,D+,C,B,C,D,D,D,D*,D,D,B+,B,B,A,D,D,D,A,D*,C+,D,C,B,A,D+,C,D,B,C+,C,C,A,D+,B,B,C,D,C,C,D,B,C,NU,NU,NU,NU
Kazakhstan,2018,B,B,C+,C,C,A,C,D,B,D,D,B,B,D+,D,D,B,C,C,C,C+,C,C,A,D,D,D,C+,C,A,D,C+,C,A,D,C,C,B,D,C,B,A,A,D,C,D,B,C,A,A,A,B,B,C,A,A,C,B+,C,A,A,B+,A,B,A,A,B+,A,A,C,B,A,A,A,A,A,A,A,A,A,B+,A,B,C+,A,A,A,C,C+,A,D,B,D,A,A,A,A,B+,A,B,A,NA,B+,D,A,A,A,A,A,A,A,C+,C,A,C,D+,B,A,A,D,B+,A,C,A,A,NU,NU,NU,NU
Georgia,2018,A,A,A,A,A,A,B+,A,B,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,B,B,C,B,C,C,C,C,C,C+,B,C,C,B,A,A,D,A,A,B,A,D+,D,B,D,B+,A,A,A,D,A,A,A,A,A,A,A,A,A,B+,A,A,A,D,A,A,A,A,A,A,A,A,A,C+,A,C,A,A,A,A,A,B+,A,A,A,D,A,A,A,A,B+,A,B,A,A,A,A,A,A,A,B+,A,B,A,D+,B,NR,C,B+,A,A,B,A,C+,C,C,C,A,NU,NU,NU,NU
Tajikistan,2017,A,A,D+,D,C,A,B,B,B,B,B,A,A,A,A,A,A,B,C,A,D,D,D,C,NR,D,D,C,C,C,C,D+,C,D,C,C,C+,C,C,B,A,B,A,A,C,B,C,D,C+,C,B,C,D+,D,C,C,D,B,C,C,A,B+,A,B,A,A,C+,B,B,D,C,A,A,A,A,C+,C,C,B,C,C+,A,C,C+,B,A,C,B,B,B,A,B,D,B+,B,A,B,C,C,C,C,C,B+,A,NA,B,B,B+,B,B,A,D+,C,C,D,C+,C,A,B,C,C+,A,C,B,D,NU,NU,NU,NU
Lao PDR,2019,A,A,D+,D*,C,A,C,B,D,C,C,D,D,D+,D,D,C,NA,NA,NA,D+,C,C,D,D,D,D,D,D,NA,D,D,C,C,D,D*,D+,C,D,D,D+,C,D,D,D+,C,D,D,D+,D,C,D,D+,C,C,D,D,C+,C,D,A,D+,D,B,A,B,D,D,D,C,D,B,B,A,C,D+,C,C,D,C,D,D*,D,D+,C,C,D,D,D,D,D*,D,D,C+,C,C,B,D,D,D,D*,D*,C+,D,B,B,C,D+,D,B,D,D+,C,C,D,D+,D,D,C,C,C+,A,D,C,D,NU,NU,NU,NU
Tanzania - Zanzibar State,2019,D,D,D+,NR,D,A,D,D,D,D,D,A,A,D,D,D,NR,C+,D,A,C+,A,A,D,D,D,D,D+,B,D,D,C,C,C,C,C,D+,C,D,C,C+,B,B,D,B,B,A,C,C,C,C,C,D+,A,D,D,D,B+,A,C,A,B+,B,A,A,A,C+,A,C,C,D,D+,A,A,D,B+,A,A,C,A,D+,B,D,D+,A,C,A,D,D+,D,D,D,B,C,B,C,D,D+,B,C,D,D,B,B,NA,NA,B,D,D,D,D,C+,C,B,C,D+,D,D,D,C,B,C,A,B,C,NU,NU,NU,NU
Guinea,2018,D,D,D+,D,D,A,D,D,D,C,C,B,B,D,NR,NR,NR,A,A,A,D+,C,D,D,D,B,B,D+,C,D,D,D+,C,C,D,C,D+,B,D,D,C+,C,A,D,D+,C,C,D,D+,D,B,D,D,D,D,C,D,C+,C,C,B,C+,A,B,B,C,C,B,C,C,D,C+,B,A,C,C,C,C,C,C,D+,B,D,D+,C,B,C,D,B,B,A,C,B,C+,C,C,B,D+,D,C,D,D,D,D,D,D,D,C+,B,C,C,D+,C,D,D,D+,D,D,NA,A,NA,NA,NA,NA,NA,NU,NU,NU,NU
Kenya - West Pokot County,2018,B,B,B+,A,B,A,D,D,D,C,C,D,D,D,NR,NR,D,NA,NA,NA,D+,B,C,D,D,D,D,D,NA,NA,D,D,NR,NR,D,D,D+,C,D,D,D,D,NA,D,D+,C,C,D,C+,D,B,B,D+,A,D,NR,D,D,D,D,D,C+,A,C,C,C,D,D,D,D,NR,C+,A,B,C,C,D,C,C,B,C,C,C,D+,D,NR,C,C,D+,NR,NR,D,B,C,B,C,NR,D+,B,C,A,NR,B,NR,A,A,B,D+,C,D,C,D+,B,D,C,D+,C,NR,D,A,D,NR,NR,NR,D,D+,B,C,NR
Kenya - Kenya Nakuru County,2018,B,B,D+,NR,D,A,D,D,D,C,C,D,D,D,NR,NR,NR,NA,NA,NA,D,D,D,D,D,D,D,D,NA,NA,D,D,D,D,D,D,D+,C,D,D,D,D,NA,D,D+,C,C,D,C,D,B,C,D+,A,D,D,D,B,A,D,A,C+,A,A,C,C,D,D,D,D,D,C+,A,A,C,C+,C,C,D,A,D+,D,C,D,D,A,B,B,C+,B,D,D,A,B,A,B,NR,D,D,D,D,D,C,B,D,D,B,C,C,B,C,D,C,B,D,D+,C,D,D,A,D,NR,NR,NR,NR,D+,A,D,NR
